2026-09-13 11:00:34.085 [restartedMain]  INFO com.example.DemoApplication - Starting DemoApplication using Java 21.0.4 with PID 12028 (C:\Users\garyc\Documents\工作\教學\2026課程\Phase2_進階課程規劃\Lecture Notes\1_後端開發核心\Projects\src-lesson05\target\classes started by garyc in C:\Users\garyc\Documents\工作\教學\2026課程\Phase2_進階課程規劃\Lecture Notes\1_後端開發核心\Projects\src-lesson05)
2026-09-13 11:00:34.088 [restartedMain]  INFO com.example.DemoApplication - The following 1 profile is active: "prod"
2026-09-13 11:00:34.122 [restartedMain]  INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-09-13 11:00:34.124 [restartedMain]  INFO o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-09-13 11:00:34.225 [background-preinit]  INFO o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.1.3.Final
2026-09-13 11:00:34.792 [restartedMain]  INFO o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 80 (http)
2026-09-13 11:00:34.804 [restartedMain]  INFO o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2026-09-13 11:00:34.806 [restartedMain]  INFO o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-13 11:00:34.806 [restartedMain]  INFO o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.24]
2026-09-13 11:00:34.837 [restartedMain]  INFO o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 713 ms
2026-09-13 11:00:35.202 [restartedMain]  INFO o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2026-09-13 11:00:35.220 [restartedMain]  INFO o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 80 (http) with context path '/'
2026-09-13 11:00:35.223 [restartedMain]  INFO com.example.DemoApplication - Started DemoApplication in 1.556 seconds (process running for 1.835)
2026-09-13 11:02:19.870 [http-nio-80-exec-1]  INFO o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-13 11:02:19.870 [http-nio-80-exec-1]  INFO o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-13 11:02:19.871 [http-nio-80-exec-1]  INFO o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-13 11:02:19.901 [http-nio-80-exec-1]  INFO com.example.aspect.LoggingAspect - >> Invoke [UserController -> greetUser], Parameters: [Marry]
2026-09-13 11:02:19.902 [http-nio-80-exec-1]  INFO com.example.aspect.LoggingAspect - << Exit [UserController -> greetUser], Return: Hello, Marry!, Duration: 0ms
2026-09-13 11:04:42.687 [SpringApplicationShutdownHook]  INFO o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-13 11:04:42.696 [tomcat-shutdown]  INFO o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
